path,bytes,kb,extension,sha256,width,height,format,mode,error
staticfiles/images/categories/womens.jpg,3219,3.14,jpg,733c186ac06ccedded4a0757e2b43b14a753b185079e84a56c2b470c078e0de6,400,300,JPEG,RGB,
staticfiles/images/loginbg.0d4e1f1be7ee.jpg,3211,3.14,jpg,f3467e496eed670fc4339e4849433ce7679cfb5504f6cf0c8584b521a4712b20,400,300,JPEG,RGB,
staticfiles/images/loginbg.jpg,3211,3.14,jpg,f3467e496eed670fc4339e4849433ce7679cfb5504f6cf0c8584b521a4712b20,400,300,JPEG,RGB,
staticfiles/images/menstshirts.71cb045005a2.jpg,3176,3.1,jpg,e7972b611d965ad4ce6574a12f261181590f884d6e37f3fc6533aa237a3d07bd,400,300,JPEG,RGB,
staticfiles/images/menstshirts.jpg,3176,3.1,jpg,e7972b611d965ad4ce6574a12f261181590f884d6e37f3fc6533aa237a3d07bd,400,300,JPEG,RGB,
static/images/menstshirts.jpg,3176,3.1,jpg,e7972b611d965ad4ce6574a12f261181590f884d6e37f3fc6533aa237a3d07bd,400,300,JPEG,RGB,
staticfiles/images/men_shirt_black_front.1b692fcea1a4.jpg,3168,3.09,jpg,edd4e227bae313ba9343b2ca0ae23d607bc48942c9a95457ebcc7b12bdd2098a,400,300,JPEG,RGB,
staticfiles/images/men_shirt_black_front.jpg,3168,3.09,jpg,edd4e227bae313ba9343b2ca0ae23d607bc48942c9a95457ebcc7b12bdd2098a,400,300,JPEG,RGB,
static/images/men_shirt_black_front.jpg,3168,3.09,jpg,edd4e227bae313ba9343b2ca0ae23d607bc48942c9a95457ebcc7b12bdd2098a,400,300,JPEG,RGB,
static/images/nike-t-shirts.webp,3112,3.04,webp,28d7aefecad38c909efc51f9ff6354284eed485c3dd4f4d2541c37482bfc2492,800,800,WEBP,RGB,
staticfiles/images/categories/mens.2f5304e2f3d5.jpg,3094,3.02,jpg,ac79f5d220816df7a859fec00b2bf497a684fc0dc6e57492222fbe2664e82724,400,300,JPEG,RGB,
staticfiles/images/categories/mens.jpg,3094,3.02,jpg,ac79f5d220816df7a859fec00b2bf497a684fc0dc6e57492222fbe2664e82724,400,300,JPEG,RGB,
staticfiles/images/categories/kids.3c4c4cf3c774.jpg,3047,2.98,jpg,946d926da543401a18ace6a613b1750b68e484027fd95cc05471cfadd071b484,400,300,JPEG,RGB,
